Name,Group,Report Card Name
Memory,,Memory
Art,,Art
Math 1,Grade 1,Mathematics 1
Phonics,Grade 1,Phonics
Penmanship 1,Grade 1,Penmanship 1
Reading A,Grade 1,Reading A
Reading B,Grade 1,Reading B
Health,Grade 1,Health
Math 2,Grade 2,Mathematics 2
English 2,Grade 2,English 2
Reading 2,Grade 2,Reading 2
Penmanship 2,Grade 2,Penmanship 2
Spelling 2,Grade 2,Spelling 2
Science 2,Grade 2,Science 2
Social Studies 2,Grade 2,Social Studies 2
Math 3,Grade 3,Mathematics 3
English 3,Grade 3,English 3
Reading 3,Grade 3,Reading 3
Penmanship 3,Grade 3,Penmanship 3
Spelling 3,Grade 3,Spelling 3
Science 3,Grade 3,Science 3
Social Studies 3,Grade 3,Social Studies 3
Math 4,Grade 4,Mathematics 4
English 4,Grade 4,English 4
Vocabulary 4,Grade 4,Vocabulary 4
Reading 4,Grade 4,Reading 4
Spelling 4,Grade 4,Spelling 4
Science 4,Grade 4,Science 4
Social Studies 4,Grade 4,Social Studies 4
Math 5,Grade 5,Mathematics 5
English 5,Grade 5,English 5
Vocabulary 5,Grade 5,Vocabulary 5
Reading 5,Grade 5,Reading 5
Spelling 5,Grade 5,Spelling 5
Science 5,Grade 5,Science 5
Social Studies 5,Grade 5,Social Studies 5
Math 6,Grade 6,Mathematics 6
English 6,Grade 6,English 6
Vocabulary 6,Grade 6,Vocabulary 6
Reading 6,Grade 6,Reading 6
Spelling 6,Grade 6,Spelling 6
Science 6,Grade 6,Science 6
Social Studies 6,Grade 6,Social Studies 6
Pre-Algebra,Grade 7,Pre-Algebra
English 7,Grade 7,English 7
Literature 7,Grade 7,Literature 7
Science 7,Grade 7,Science 7
Social Studies 7,Grade 7,Social Studies 7
Geography,Grade 7,Geography
Algebra 1,Grade 8,Algebra 1
English 8,Grade 8,English 8
Literature 8,Grade 8,Literature 8
Physical Science,Grade 8,Physical Science
World History,Grade 8,World History
Algebra 1,Grade 9,Algebra 1
English 9,Grade 9,English 9
Literature 1,Grade 9,Literature 1
Typing,Grade 9,Typing
Biology,Grade 9,Biology
World Geography,Grade 9,World Geography
Geometry,Grade 10,Geometry
English 10,Grade 10,English 10
Literature 2,Grade 10,Literature 2
Chemistry,Grade 10,Chemistry
US History,Grade 10,US History
Computer Applications,Grade 10,Computer Applications
